checking_status,duration,credit_history,purpose,loan_amt,savings_status,emp_length,rate_inc_perc,other_debtors,resid_length,property_type,age,external_credit,housing,internal_credit,job_type,dependent_count,has_phone,foreign_ind,target,female,married
0.0,6,current_other,radio/television,1169,,10,4,none,4,real_estate,67,none,own,2,skilled,1,1,1,0,0,0
100.0,48,existing_current,radio/television,5951,100.0,4,2,none,2,real_estate,22,none,own,1,skilled,1,0,1,1,1,1
,12,current_other,education,2096,100.0,7,2,none,3,real_estate,49,none,own,1,unskilled_nonresid,2,0,1,0,0,0
,36,existing_current,education,9055,,4,2,none,4,no_property,35,none,for free,1,unskilled_nonresid,2,1,1,0,0,0
,24,existing_current,furniture/equipment,2835,1000.0,10,3,none,4,agreement,53,none,own,1,skilled,1,0,1,0,0,0
100.0,36,existing_current,car (used),6948,100.0,4,2,none,2,car,35,none,rent,1,management,1,1,1,0,0,0
,12,existing_current,radio/television,3059,1500.0,7,2,none,4,real_estate,61,none,own,1,unskilled_nonresid,1,0,1,0,1,1
100.0,30,current_other,car (new),5234,100.0,0,4,none,2,car,28,none,own,2,management,1,0,1,1,0,1
100.0,12,existing_current,car (new),1295,100.0,1,3,none,1,car,25,none,rent,1,skilled,1,0,1,1,1,1
100.0,12,existing_current,radio/television,1567,100.0,4,1,none,1,car,22,none,own,1,skilled,1,1,1,0,1,1
0.0,24,current_other,car (new),1199,100.0,10,4,none,4,car,60,none,own,2,unskilled_nonresid,1,0,1,1,0,0
0.0,15,existing_current,car (new),1403,100.0,4,2,none,4,car,28,none,rent,1,skilled,1,0,1,0,1,1
0.0,24,existing_current,radio/television,1282,500.0,4,4,none,2,car,32,none,own,1,unskilled_nonresid,1,0,1,1,1,1
,24,current_other,radio/television,2424,,10,4,none,4,agreement,53,none,own,2,skilled,1,0,1,0,0,0
0.0,30,no_credit,business,8072,,1,2,none,3,car,25,bank,own,3,skilled,1,0,1,0,0,0
100.0,24,existing_current,car (used),12579,100.0,10,4,none,2,no_property,44,none,for free,1,management,1,1,1,1,1,1
,24,existing_current,radio/television,3430,1000.0,10,3,none,2,car,31,none,own,1,skilled,2,1,1,0,0,0
,9,current_other,car (new),2134,100.0,4,4,none,4,car,48,none,own,3,skilled,1,1,1,0,0,0
0.0,6,existing_current,radio/television,2647,1000.0,4,2,none,3,real_estate,44,none,rent,1,skilled,2,0,1,0,0,0
0.0,10,current_other,car (new),2241,100.0,1,1,none,3,real_estate,48,none,rent,2,unskilled_nonresid,2,0,0,0,0,0
100.0,12,current_other,car (used),1804,500.0,1,3,none,4,agreement,44,none,own,1,skilled,1,0,1,0,0,0
,10,current_other,furniture/equipment,2069,,4,2,none,1,car,26,none,own,2,skilled,1,0,0,0,0,1
0.0,6,existing_current,furniture/equipment,1374,100.0,4,1,none,2,real_estate,36,bank,own,1,unskilled_nonresid,1,1,1,0,0,0
,6,no_credit,radio/television,426,100.0,10,4,none,4,car,39,none,own,1,unskilled_nonresid,1,0,1,0,0,1
200.0,12,current_bank,radio/television,409,1500.0,4,3,none,3,real_estate,42,none,rent,2,skilled,1,0,1,0,1,1
100.0,7,existing_current,radio/television,2415,100.0,4,3,guarantor,2,real_estate,34,none,own,1,skilled,1,0,1,0,0,0
100.0,18,existing_current,business,1913,1500.0,1,3,none,3,real_estate,36,bank,own,1,skilled,1,1,1,0,0,1
0.0,24,existing_current,furniture/equipment,4020,100.0,4,2,none,2,car,27,stores,own,1,skilled,1,0,1,0,0,0
100.0,18,existing_current,car (new),5866,500.0,4,2,none,2,car,30,none,own,2,skilled,1,1,1,0,0,0
,12,current_other,business,1264,,10,4,none,4,no_property,57,none,rent,1,unskilled_nonresid,1,0,1,0,0,0
200.0,12,existing_current,furniture/equipment,1474,100.0,1,4,none,1,agreement,33,bank,own,1,management,1,1,1,0,1,1
100.0,45,current_other,radio/television,4746,100.0,1,4,none,2,agreement,25,none,own,2,unskilled_nonresid,1,0,1,1,0,0
,48,current_other,education,6110,100.0,4,1,none,3,no_property,31,bank,for free,1,skilled,1,1,1,0,0,0
200.0,18,existing_current,radio/television,2100,100.0,4,4,co-applicant,2,real_estate,37,stores,own,1,skilled,1,0,1,1,0,0
200.0,10,existing_current,domestic appliances,1225,100.0,4,2,none,2,car,37,none,own,1,skilled,1,1,1,0,0,0
100.0,9,existing_current,radio/television,458,100.0,4,4,none,3,real_estate,24,none,own,1,skilled,1,0,1,0,0,0
,30,existing_current,radio/television,2333,1000.0,10,4,none,2,car,30,bank,own,1,management,1,0,1,0,0,0
100.0,12,existing_current,radio/television,1158,1000.0,4,3,none,1,car,26,none,own,1,skilled,1,1,1,0,1,1
100.0,18,delinquent,repairs,6204,100.0,4,2,none,4,real_estate,44,none,own,1,unskilled_nonresid,2,1,1,0,0,0
0.0,30,current_other,car (used),6187,500.0,7,1,none,4,car,24,none,rent,2,skilled,1,0,1,0,0,1
0.0,48,current_other,car (used),6143,100.0,10,4,none,4,no_property,58,stores,for free,2,unskilled_nonresid,1,0,1,1,1,1
,11,current_other,car (new),1393,100.0,1,4,none,4,car,35,none,own,2,management,1,0,1,0,1,1
,36,existing_current,radio/television,2299,1000.0,10,4,none,4,car,39,none,own,1,skilled,1,0,1,0,0,0
0.0,6,existing_current,car (used),1352,1000.0,0,1,none,2,agreement,23,none,rent,1,unskilled_resid,1,1,1,0,1,1
,11,current_other,car (new),7228,100.0,4,1,none,4,agreement,39,none,own,2,unskilled_nonresid,1,0,1,0,0,0
,12,existing_current,radio/television,2073,500.0,4,4,co-applicant,2,real_estate,28,none,own,1,skilled,1,0,1,0,1,1
100.0,24,delinquent,furniture/equipment,2333,,1,4,none,2,agreement,29,bank,own,1,unskilled_nonresid,1,0,1,0,0,0
100.0,27,delinquent,car (used),5965,100.0,10,1,none,2,car,30,none,own,2,management,1,1,1,0,0,0
,12,existing_current,radio/television,1262,100.0,4,3,none,2,car,25,none,own,1,skilled,1,0,1,0,0,0
,18,existing_current,car (used),3378,,4,2,none,1,agreement,31,none,own,1,skilled,1,1,1,0,0,0
,6,current_bank,car (new),783,,4,1,guarantor,2,real_estate,26,stores,own,1,unskilled_nonresid,2,0,1,0,0,0
100.0,12,existing_current,radio/television,6468,,0,2,none,1,no_property,52,none,own,1,management,1,1,1,1,0,0
,36,current_other,radio/television,9566,100.0,4,2,none,2,car,31,stores,own,2,skilled,1,0,1,0,1,1
200.0,18,existing_current,car (new),1961,100.0,10,3,none,2,car,23,none,own,1,management,1,0,1,0,1,1
0.0,36,current_other,furniture/equipment,6229,100.0,1,4,co-applicant,4,no_property,23,none,rent,2,unskilled_nonresid,1,1,1,1,1,1
100.0,9,existing_current,business,1391,100.0,4,2,none,1,real_estate,27,bank,own,1,skilled,1,1,1,0,0,1
100.0,15,current_other,radio/television,1537,,10,4,guarantor,4,real_estate,50,none,own,2,skilled,1,1,1,0,0,0
,24,existing_current,radio/television,3181,100.0,1,4,none,4,agreement,26,none,own,1,skilled,1,1,1,0,1,1
,27,existing_current,repairs,5190,,10,4,none,4,agreement,48,none,own,4,skilled,2,1,1,0,0,0
,12,existing_current,radio/television,2171,100.0,1,2,none,2,car,29,bank,own,1,skilled,1,0,1,0,1,1
100.0,12,existing_current,car (new),1007,1500.0,4,4,none,1,real_estate,22,none,own,1,skilled,1,0,1,0,0,1
,36,existing_current,radio/television,2394,,4,4,none,4,car,25,none,own,1,skilled,1,0,1,0,1,1
,36,existing_current,car (used),8133,100.0,4,1,none,2,agreement,30,bank,own,1,skilled,1,0,1,0,1,1
,7,current_other,radio/television,730,,10,4,none,2,agreement,46,none,rent,2,unskilled_nonresid,1,1,1,0,0,0
0.0,8,current_other,others,1164,100.0,10,3,none,4,no_property,51,bank,for free,2,management,2,1,1,0,0,0
100.0,42,current_other,business,5954,100.0,7,2,none,1,real_estate,41,bank,own,2,unskilled_nonresid,1,0,1,0,1,1
0.0,36,existing_current,education,1977,,10,4,none,4,no_property,40,none,own,1,management,1,1,1,1,0,0
0.0,12,current_other,car (used),1526,100.0,10,4,none,4,no_property,66,none,for free,2,management,1,0,1,0,0,0
0.0,42,existing_current,radio/television,3965,100.0,1,4,none,3,car,34,none,own,1,skilled,1,0,1,1,0,0
100.0,11,delinquent,radio/television,4771,100.0,7,2,none,4,agreement,51,none,own,1,skilled,1,0,1,0,0,0
,54,no_credit,car (used),9436,,4,2,none,2,agreement,39,none,own,1,unskilled_nonresid,2,0,1,0,0,0
100.0,30,existing_current,furniture/equipment,3832,100.0,1,2,none,1,agreement,22,none,own,1,skilled,1,0,1,0,0,1
,24,existing_current,radio/television,5943,,1,1,none,1,car,44,none,own,2,skilled,1,1,1,1,1,1
,15,existing_current,radio/television,1213,1000.0,10,4,none,3,agreement,47,stores,own,1,skilled,1,1,1,0,0,0
,18,existing_current,business,1568,500.0,4,3,none,4,agreement,24,none,rent,1,unskilled_nonresid,1,0,1,0,1,1
0.0,24,existing_current,others,1755,100.0,10,4,guarantor,4,real_estate,58,none,own,1,unskilled_nonresid,1,1,1,0,1,1
0.0,10,existing_current,radio/television,2315,100.0,10,3,none,4,real_estate,52,none,own,1,unskilled_nonresid,1,0,1,0,0,0
,12,current_other,business,1412,100.0,4,4,guarantor,2,real_estate,29,none,own,2,management,1,1,1,0,1,1
100.0,18,current_other,furniture/equipment,1295,100.0,1,4,none,1,agreement,27,none,own,2,skilled,1,0,1,0,1,1
0.0,18,existing_current,car (new),2249,500.0,7,4,none,3,car,30,none,own,1,management,2,1,1,0,0,0
0.0,12,no_credit,repairs,1108,100.0,7,4,none,3,real_estate,28,none,own,2,skilled,1,0,1,1,0,0
,12,current_other,radio/television,618,100.0,10,4,none,4,real_estate,56,none,own,1,skilled,1,0,1,0,0,0
0.0,12,current_other,car (used),1409,100.0,10,4,none,3,real_estate,54,none,own,1,skilled,1,0,1,0,0,0
,12,current_other,radio/television,797,,10,4,none,3,agreement,33,bank,own,1,unskilled_nonresid,2,0,1,1,1,1
200.0,24,current_other,furniture/equipment,3617,,10,4,co-applicant,4,no_property,20,none,rent,2,skilled,1,0,1,0,0,0
100.0,12,existing_current,car (new),1318,1500.0,10,4,none,4,real_estate,54,none,own,1,skilled,1,1,1,0,0,0
,12,current_other,education,2012,,7,4,none,2,car,61,none,own,1,skilled,1,0,1,0,1,1
100.0,18,existing_current,business,2622,500.0,4,4,none,4,car,34,none,own,1,skilled,1,0,1,0,0,0
100.0,36,current_other,radio/television,2337,100.0,10,4,none,4,real_estate,36,none,own,1,skilled,1,0,1,0,0,0
100.0,20,delinquent,car (used),7057,,7,3,none,4,agreement,36,bank,rent,2,management,2,1,1,0,0,0
,24,existing_current,car (new),1469,500.0,10,4,none,4,real_estate,41,none,rent,1,unskilled_nonresid,1,0,1,0,0,1
100.0,36,existing_current,radio/television,2323,100.0,7,4,none,4,car,24,none,rent,1,skilled,1,0,1,0,0,0
,6,delinquent,radio/television,932,100.0,4,3,none,2,real_estate,24,none,own,1,skilled,1,0,1,0,1,1
100.0,9,current_other,furniture/equipment,1919,100.0,7,4,none,3,car,35,none,rent,1,skilled,1,1,1,0,0,0
,12,existing_current,car (used),2445,,1,2,none,4,car,26,none,rent,1,skilled,1,1,1,0,0,1
100.0,24,current_other,others,11938,100.0,4,2,co-applicant,3,car,39,none,own,2,management,2,1,1,1,0,0
,18,current_bank,car (new),6458,100.0,10,2,none,4,no_property,39,bank,own,2,management,2,1,1,1,0,0
100.0,12,existing_current,car (new),6078,100.0,7,2,none,2,car,32,none,own,1,skilled,1,0,1,0,0,0
0.0,24,existing_current,furniture/equipment,7721,,1,1,none,2,agreement,30,none,own,1,skilled,1,1,0,0,1,1
100.0,14,existing_current,business,1410,1000.0,10,1,none,2,real_estate,35,none,own,1,skilled,1,1,1,0,0,1
100.0,6,delinquent,business,1449,500.0,10,1,none,2,car,31,bank,own,2,skilled,2,0,1,0,1,1
200.0,15,existing_current,education,392,100.0,1,4,none,4,agreement,23,none,rent,1,skilled,1,1,1,0,1,1
100.0,18,existing_current,car (new),6260,100.0,7,3,none,3,real_estate,28,none,rent,1,unskilled_nonresid,1,0,1,0,0,0
,36,current_other,car (new),7855,100.0,4,4,none,2,real_estate,25,stores,own,2,skilled,1,1,1,1,1,1
0.0,12,existing_current,radio/television,1680,1000.0,10,3,none,1,real_estate,35,none,own,1,skilled,1,0,1,0,0,1
,48,current_other,radio/television,3578,,10,4,none,1,real_estate,47,none,own,1,skilled,1,1,1,0,0,0
0.0,42,existing_current,radio/television,7174,,7,4,none,3,car,30,none,own,1,management,1,1,1,1,1,1
0.0,10,current_other,furniture/equipment,2132,,1,2,co-applicant,3,real_estate,27,none,rent,2,skilled,1,0,0,0,1,1
0.0,33,current_other,furniture/equipment,4281,1000.0,4,1,none,4,car,23,none,own,2,skilled,1,0,1,1,1,1
100.0,12,current_other,car (new),2366,1000.0,7,3,none,3,car,36,none,own,1,management,1,1,1,0,1,1
0.0,21,existing_current,radio/television,1835,100.0,4,3,none,2,real_estate,25,none,own,2,skilled,1,1,1,1,1,1
,24,current_other,car (used),3868,100.0,10,4,none,2,car,41,none,rent,2,management,1,1,1,0,1,1
,12,existing_current,furniture/equipment,1768,100.0,4,3,none,2,real_estate,24,none,rent,1,unskilled_nonresid,1,0,1,0,0,0
200.0,10,current_other,car (new),781,100.0,10,4,none,4,no_property,63,none,for free,2,skilled,1,1,1,0,0,0
100.0,18,existing_current,furniture/equipment,1924,,1,4,none,3,real_estate,27,none,rent,1,skilled,1,0,1,1,1,1
0.0,12,current_other,car (new),2121,100.0,4,4,none,2,agreement,30,none,own,2,skilled,1,0,1,0,0,0
0.0,12,existing_current,radio/television,701,100.0,4,4,none,2,real_estate,40,none,own,1,unskilled_nonresid,1,0,1,0,0,1
100.0,12,existing_current,repairs,639,100.0,4,4,none,2,car,30,none,own,1,skilled,1,0,1,1,0,0
100.0,12,current_other,car (used),1860,100.0,0,4,none,2,car,34,none,own,2,management,1,1,1,0,0,0
0.0,12,current_other,car (new),3499,100.0,4,3,co-applicant,2,real_estate,29,none,own,2,skilled,1,0,1,1,1,1
100.0,48,existing_current,car (new),8487,,7,1,none,2,car,24,none,own,1,skilled,1,0,1,0,1,1
